Metric,Category,Company,Quarter,Value,Quarter_Order,FY,Q
Advances (INR Crs),PRIVATE BANK,AXISBANK,Q1-FY25,1059724.0,0,FY25,Q1
Advances (INR Crs),PRIVATE BANK,AXISBANK,Q2-FY25,999979.0,1,FY25,Q2
Advances (INR Crs),PRIVATE BANK,AXISBANK,Q3-FY25,1014564.0,2,FY25,Q3
Advances (INR Crs),PRIVATE BANK,AXISBANK,Q4-FY25,1040811.0,3,FY25,Q4
Advances (INR Crs),PRIVATE BANK,AXISBANK,Q1-FY26,980092.0,4,FY26,Q1
Advances (INR Crs),PRIVATE BANK,AXISBANK,Q2-FY26,1116703.0,5,FY26,Q2
Advances (INR Crs),PRIVATE BANK,AXISBANK,Q3-FY26,1159052.0,6,FY26,Q3
CAR,PRIVATE BANK,AXISBANK,Q1-FY25,0.1658,0,FY25,Q1
CAR,PRIVATE BANK,AXISBANK,Q2-FY25,,1,FY25,Q2
CAR,PRIVATE BANK,AXISBANK,Q3-FY25,0.1701,2,FY25,Q3
CAR,PRIVATE BANK,AXISBANK,Q4-FY25,,3,FY25,Q4
CAR,PRIVATE BANK,AXISBANK,Q1-FY26,,4,FY26,Q1
CAR,PRIVATE BANK,AXISBANK,Q2-FY26,0.1655,5,FY26,Q2
CAR,PRIVATE BANK,AXISBANK,Q3-FY26,0.1655,6,FY26,Q3
CASA,PRIVATE BANK,AXISBANK,Q1-FY25,0.38,0,FY25,Q1
CASA,PRIVATE BANK,AXISBANK,Q2-FY25,,1,FY25,Q2
CASA,PRIVATE BANK,AXISBANK,Q3-FY25,0.39,2,FY25,Q3
CASA,PRIVATE BANK,AXISBANK,Q4-FY25,,3,FY25,Q4
CASA,PRIVATE BANK,AXISBANK,Q1-FY26,,4,FY26,Q1
CASA,PRIVATE BANK,AXISBANK,Q2-FY26,,5,FY26,Q2
CASA,PRIVATE BANK,AXISBANK,Q3-FY26,0.39,6,FY26,Q3
CoFs,PRIVATE BANK,AXISBANK,Q1-FY25,0.0544,0,FY25,Q1
CoFs,PRIVATE BANK,AXISBANK,Q2-FY25,0.0545,1,FY25,Q2
CoFs,PRIVATE BANK,AXISBANK,Q3-FY25,0.0546,2,FY25,Q3
CoFs,PRIVATE BANK,AXISBANK,Q4-FY25,0.055,3,FY25,Q4
CoFs,PRIVATE BANK,AXISBANK,Q1-FY26,0.0539,4,FY26,Q1
CoFs,PRIVATE BANK,AXISBANK,Q2-FY26,0.0515,5,FY26,Q2
CoFs,PRIVATE BANK,AXISBANK,Q3-FY26,0.0507,6,FY26,Q3
Cost to Income,PRIVATE BANK,AXISBANK,Q1-FY25,0.475,0,FY25,Q1
Cost to Income,PRIVATE BANK,AXISBANK,Q2-FY25,0.47,1,FY25,Q2
Cost to Income,PRIVATE BANK,AXISBANK,Q3-FY25,0.462,2,FY25,Q3
Cost to Income,PRIVATE BANK,AXISBANK,Q4-FY25,0.478,3,FY25,Q4
Cost to Income,PRIVATE BANK,AXISBANK,Q1-FY26,0.447,4,FY26,Q1
Cost to Income,PRIVATE BANK,AXISBANK,Q2-FY26,0.489,5,FY26,Q2
Cost to Income,PRIVATE BANK,AXISBANK,Q3-FY26,0.4594594594594595,6,FY26,Q3
Credit Cost,PRIVATE BANK,AXISBANK,Q1-FY25,0.0097,0,FY25,Q1
Credit Cost,PRIVATE BANK,AXISBANK,Q2-FY25,0.0054,1,FY25,Q2
Credit Cost,PRIVATE BANK,AXISBANK,Q3-FY25,0.008,2,FY25,Q3
Credit Cost,PRIVATE BANK,AXISBANK,Q4-FY25,0.005,3,FY25,Q4
Credit Cost,PRIVATE BANK,AXISBANK,Q1-FY26,0.0138,4,FY26,Q1
Credit Cost,PRIVATE BANK,AXISBANK,Q2-FY26,0.0065,5,FY26,Q2
Credit Cost,PRIVATE BANK,AXISBANK,Q3-FY26,0.0063,6,FY26,Q3
Deposits (INR Crs),PRIVATE BANK,AXISBANK,Q1-FY25,1161615.0,0,FY25,Q1
Deposits (INR Crs),PRIVATE BANK,AXISBANK,Q2-FY25,1086744.0,1,FY25,Q2
Deposits (INR Crs),PRIVATE BANK,AXISBANK,Q3-FY25,1095883.0,2,FY25,Q3
Deposits (INR Crs),PRIVATE BANK,AXISBANK,Q4-FY25,1172952.0,3,FY25,Q4
Deposits (INR Crs),PRIVATE BANK,AXISBANK,Q1-FY26,1062484.0,4,FY26,Q1
Deposits (INR Crs),PRIVATE BANK,AXISBANK,Q2-FY26,1203487.0,5,FY26,Q2
Deposits (INR Crs),PRIVATE BANK,AXISBANK,Q3-FY26,1260786.0,6,FY26,Q3
GNPA,PRIVATE BANK,AXISBANK,Q1-FY25,0.0154,0,FY25,Q1
GNPA,PRIVATE BANK,AXISBANK,Q2-FY25,0.0144,1,FY25,Q2
GNPA,PRIVATE BANK,AXISBANK,Q3-FY25,0.0146,2,FY25,Q3
GNPA,PRIVATE BANK,AXISBANK,Q4-FY25,0.0128,3,FY25,Q4
GNPA,PRIVATE BANK,AXISBANK,Q1-FY26,0.0157,4,FY26,Q1
GNPA,PRIVATE BANK,AXISBANK,Q2-FY26,0.0146,5,FY26,Q2
GNPA,PRIVATE BANK,AXISBANK,Q3-FY26,0.014,6,FY26,Q3
Leverage,PRIVATE BANK,AXISBANK,Q1-FY25,7.265272328796775,0,FY25,Q1
Leverage,PRIVATE BANK,AXISBANK,Q2-FY25,,1,FY25,Q2
Leverage,PRIVATE BANK,AXISBANK,Q3-FY25,,2,FY25,Q3
Leverage,PRIVATE BANK,AXISBANK,Q4-FY25,,3,FY25,Q4
Leverage,PRIVATE BANK,AXISBANK,Q1-FY26,,4,FY26,Q1
Leverage,PRIVATE BANK,AXISBANK,Q2-FY26,,5,FY26,Q2
Leverage,PRIVATE BANK,AXISBANK,Q3-FY26,,6,FY26,Q3
NII,PRIVATE BANK,AXISBANK,Q1-FY25,13448.0,0,FY25,Q1
NII,PRIVATE BANK,AXISBANK,Q2-FY25,13483.0,1,FY25,Q2
NII,PRIVATE BANK,AXISBANK,Q3-FY25,13606.0,2,FY25,Q3
NII,PRIVATE BANK,AXISBANK,Q4-FY25,13811.0,3,FY25,Q4
NII,PRIVATE BANK,AXISBANK,Q1-FY26,13560.0,4,FY26,Q1
NII,PRIVATE BANK,AXISBANK,Q2-FY26,13745.0,5,FY26,Q2
NII,PRIVATE BANK,AXISBANK,Q3-FY26,14287.0,6,FY26,Q3
NIMs,PRIVATE BANK,AXISBANK,Q1-FY25,0.0405,0,FY25,Q1
NIMs,PRIVATE BANK,AXISBANK,Q2-FY25,0.0399,1,FY25,Q2
NIMs,PRIVATE BANK,AXISBANK,Q3-FY25,0.0393,2,FY25,Q3
NIMs,PRIVATE BANK,AXISBANK,Q4-FY25,0.0397,3,FY25,Q4
NIMs,PRIVATE BANK,AXISBANK,Q1-FY26,0.038,4,FY26,Q1
NIMs,PRIVATE BANK,AXISBANK,Q2-FY26,0.0373,5,FY26,Q2
NIMs,PRIVATE BANK,AXISBANK,Q3-FY26,0.0364,6,FY26,Q3
NNPA,PRIVATE BANK,AXISBANK,Q1-FY25,0.0034,0,FY25,Q1
NNPA,PRIVATE BANK,AXISBANK,Q2-FY25,0.0034,1,FY25,Q2
NNPA,PRIVATE BANK,AXISBANK,Q3-FY25,0.0035,2,FY25,Q3
NNPA,PRIVATE BANK,AXISBANK,Q4-FY25,0.0033,3,FY25,Q4
NNPA,PRIVATE BANK,AXISBANK,Q1-FY26,0.0045,4,FY26,Q1
NNPA,PRIVATE BANK,AXISBANK,Q2-FY26,0.0044,5,FY26,Q2
NNPA,PRIVATE BANK,AXISBANK,Q3-FY26,0.0042,6,FY26,Q3
Opex to AUM,PRIVATE BANK,AXISBANK,Q1-FY25,,0,FY25,Q1
Opex to AUM,PRIVATE BANK,AXISBANK,Q2-FY25,,1,FY25,Q2
Opex to AUM,PRIVATE BANK,AXISBANK,Q3-FY25,,2,FY25,Q3
Opex to AUM,PRIVATE BANK,AXISBANK,Q4-FY25,0.0251,3,FY25,Q4
Opex to AUM,PRIVATE BANK,AXISBANK,Q1-FY26,0.0241,4,FY26,Q1
Opex to AUM,PRIVATE BANK,AXISBANK,Q2-FY26,0.0238,5,FY26,Q2
Opex to AUM,PRIVATE BANK,AXISBANK,Q3-FY26,0.0233,6,FY26,Q3
Other Income,PRIVATE BANK,AXISBANK,Q1-FY25,5784.0,0,FY25,Q1
Other Income,PRIVATE BANK,AXISBANK,Q2-FY25,6722.0,1,FY25,Q2
Other Income,PRIVATE BANK,AXISBANK,Q3-FY25,5972.0,2,FY25,Q3
Other Income,PRIVATE BANK,AXISBANK,Q4-FY25,6780.0,3,FY25,Q4
Other Income,PRIVATE BANK,AXISBANK,Q1-FY26,7258.0,4,FY26,Q1
Other Income,PRIVATE BANK,AXISBANK,Q2-FY26,6037.0,5,FY26,Q2
Other Income,PRIVATE BANK,AXISBANK,Q3-FY26,6100.0,6,FY26,Q3
PAT (INR Crs),PRIVATE BANK,AXISBANK,Q1-FY25,5806.0,0,FY25,Q1
PAT (INR Crs),PRIVATE BANK,AXISBANK,Q2-FY25,6918.0,1,FY25,Q2
PAT (INR Crs),PRIVATE BANK,AXISBANK,Q3-FY25,6304.0,2,FY25,Q3
PAT (INR Crs),PRIVATE BANK,AXISBANK,Q4-FY25,7118.0,3,FY25,Q4
PAT (INR Crs),PRIVATE BANK,AXISBANK,Q1-FY26,5806.0,4,FY26,Q1
PAT (INR Crs),PRIVATE BANK,AXISBANK,Q2-FY26,5090.0,5,FY26,Q2
PAT (INR Crs),PRIVATE BANK,AXISBANK,Q3-FY26,6490.0,6,FY26,Q3
PCR,PRIVATE BANK,AXISBANK,Q1-FY25,0.78,0,FY25,Q1
PCR,PRIVATE BANK,AXISBANK,Q2-FY25,0.77,1,FY25,Q2
PCR,PRIVATE BANK,AXISBANK,Q3-FY25,0.76,2,FY25,Q3
PCR,PRIVATE BANK,AXISBANK,Q4-FY25,0.75,3,FY25,Q4
PCR,PRIVATE BANK,AXISBANK,Q1-FY26,0.71,4,FY26,Q1
PCR,PRIVATE BANK,AXISBANK,Q2-FY26,0.7,5,FY26,Q2
PCR,PRIVATE BANK,AXISBANK,Q3-FY26,0.7,6,FY26,Q3
